employee_id,first_name,last_name,salary,hire_date,department_id,manager_id
1,Phillip,Ewing,58989.3,2018-03-11,18,
2,Taylor,Adkins,99758.78,2016-05-01,21,1.0
3,Annette,Gray,97506.17,2019-08-05,35,1.0
4,Katherine,Freeman,65984.48,2021-12-27,26,
5,Julie,Perkins,106226.26,2015-09-18,36,1.0
6,Monica,Gallegos,117228.47,2023-08-06,5,5.0
7,Victoria,Zamora,30055.0,2019-06-18,47,5.0
8,Kelly,Maldonado,37741.5,2017-01-23,3,4.0
9,Sherry,Lloyd,70350.62,2018-06-26,42,3.0
10,Lauren,Patel,65998.53,2015-10-21,44,
11,Mitchell,Moody,88798.46,2021-01-28,30,10.0
12,Brittany,Reeves,44876.27,2023-03-25,40,11.0
13,Reginald,Cox,94932.77,2024-03-25,37,9.0
14,Johnny,Christensen,39537.01,2018-10-23,25,7.0
15,Clarence,Ramirez,47211.12,2025-07-28,34,3.0
16,Roberto,Castro,55830.0,2023-09-28,24,7.0
17,Darren,Mcintosh,32049.11,2016-10-03,24,12.0
18,Jonathan,Johnston,42404.86,2018-05-05,31,4.0
19,Mary,Frank,110141.9,2020-07-18,42,7.0
20,Anita,Travis,61715.48,2021-01-14,45,16.0
21,Wesley,Rodriguez,47731.08,2024-08-30,7,6.0
22,Jessica,Salas,78429.27,2018-08-03,23,9.0
23,Travis,Miller,48480.12,2024-07-10,36,14.0
24,Andrea,Smith,47420.57,2021-02-14,12,14.0
25,Jamie,Martin,39716.22,2020-07-24,4,6.0
26,Christine,Harris,69759.49,2024-04-03,48,21.0
27,Scott,Maynard,72021.0,2016-11-06,16,22.0
28,Tracy,Mendoza,70860.8,2022-11-28,49,14.0
29,Ray,Brown,46246.67,2020-07-08,25,7.0
30,Rebecca,Wright,77454.34,2016-08-28,18,10.0
31,Kimberly,Brooks,64164.44,2017-11-26,2,11.0
32,Keith,Bradley,113658.82,2020-11-14,5,16.0
33,Matthew,Larson,55170.15,2024-02-22,22,5.0
34,Nicholas,Hamilton,88679.61,2020-07-07,16,21.0
35,Crystal,Baird,90476.99,2016-12-16,36,24.0
36,Patrick,Moore,59045.0,2019-10-14,48,5.0
37,Eric,Tate,40625.86,2018-04-24,21,9.0
38,Rebecca,Robinson,80652.19,2025-05-27,50,37.0
39,Jonathan,Chavez,91697.95,2024-02-27,1,27.0
40,Mary,Foster,66724.23,2021-02-20,36,16.0
41,James,Hicks,43044.25,2022-01-20,37,25.0
42,Tammy,Lewis,54664.99,2020-04-27,16,1.0
43,Anthony,Perez,59406.04,2020-08-04,50,16.0
44,Kimberly,May,96466.79,2015-12-08,13,35.0
45,Monica,Walker,90213.11,2022-06-11,21,22.0
46,James,Garrett,116298.97,2023-12-26,1,25.0
47,Brian,Baker,44222.14,2017-06-24,9,2.0
48,Michael,Rice,43627.62,2017-03-26,13,
49,Amy,Palmer,91079.41,2022-07-22,10,30.0
50,Stephen,Dickson,110494.8,2016-12-21,28,26.0
51,Daniel,Davis,66952.95,2016-10-26,35,29.0
52,Greg,Simmons,64551.96,2020-01-13,34,12.0
53,Chelsea,Sampson,113942.67,2016-01-05,11,35.0
54,Tina,Hernandez,88311.08,2016-01-22,47,49.0
55,Michael,Sweeney,88195.72,2021-08-10,49,39.0
56,Jon,Burns,103544.64,2023-07-12,11,17.0
57,Leslie,Carter,117229.98,2018-06-26,40,2.0
58,Eric,Gardner,90246.4,2020-09-01,20,46.0
59,John,Irwin,68686.94,2020-06-28,39,39.0
60,Lance,Walker,34830.49,2023-11-24,26,26.0
61,Nicole,Porter,44004.58,2020-10-19,29,47.0
62,Heather,Allen,32093.13,2016-04-28,4,18.0
63,Mike,Robinson,41830.61,2022-04-03,48,23.0
64,Gregory,Taylor,106883.44,2025-06-14,38,11.0
65,Katrina,Wilson,71778.97,2022-04-19,46,23.0
66,Joseph,Collier,75340.77,2020-03-08,26,45.0
67,Evelyn,Jones,98754.83,2021-08-28,24,62.0
68,Michael,Bass,71398.94,2025-08-02,46,46.0
69,Nicole,Cruz,68992.93,2020-06-20,37,61.0
70,Brittany,Osborne,64517.91,2024-04-26,43,27.0
71,Wendy,Stone,62256.47,2016-07-31,23,59.0
72,Brenda,Orr,65483.88,2022-08-24,36,16.0
73,Melody,Miller,64545.85,2022-08-25,22,10.0
74,Patricia,Lozano,90143.83,2015-09-26,29,
75,Donna,Salazar,50330.24,2023-07-21,14,16.0
76,Charles,Cole,68798.35,2021-06-28,48,69.0
77,Gregory,Mckay,79426.42,2025-01-25,24,9.0
78,Sharon,Smith,90958.26,2021-09-09,9,17.0
79,Susan,Adams,111813.92,2016-06-10,39,68.0
80,Leonard,Jones,115090.36,2021-12-05,47,44.0
81,Anthony,Meadows,102632.45,2018-03-12,17,32.0
82,Sara,Doyle,64719.82,2022-12-19,7,5.0
83,Oscar,Chaney,75372.27,2022-12-08,19,70.0
84,Shawn,Miller,96333.68,2022-10-17,27,40.0
85,Emily,Hoffman,87879.24,2021-01-13,27,32.0
86,Tyler,Lee,101907.74,2017-12-19,16,70.0
87,Craig,Reyes,90801.18,2018-08-12,7,37.0
88,Tammy,Duran,98396.22,2020-01-25,12,32.0
89,Todd,Nicholson,58896.2,2019-01-02,6,88.0
90,Nathan,Garcia,101937.97,2021-03-18,40,39.0
91,Andrea,Rose,59147.9,2016-04-07,38,38.0
92,Anthony,Black,40896.59,2025-04-04,44,18.0
93,Lawrence,Armstrong,90998.44,2022-09-05,3,40.0
94,Ashley,Smith,81583.03,2016-08-10,26,2.0
95,George,Hurley,55174.75,2019-10-28,7,66.0
96,Donna,Wheeler,30586.12,2021-02-07,45,7.0
97,Daniel,Ramirez,96567.4,2020-01-03,44,39.0
98,Jonathan,Castro,101034.66,2022-10-15,26,
99,Benjamin,Ramos,39264.27,2024-01-04,43,96.0
100,Samantha,May,93805.04,2023-08-26,23,75.0
101,Elizabeth,Gonzalez,117967.43,2017-09-14,13,1.0
102,Kyle,Coleman,47198.48,2022-04-10,5,50.0
103,Stacie,Howell,87827.63,2019-01-10,6,23.0
104,James,Kennedy,60666.38,2017-10-29,46,88.0
105,Alexander,Boone,105532.23,2020-11-17,28,27.0
106,Rebecca,Miles,109332.42,2016-10-27,40,97.0
107,Craig,Johnson,32337.11,2023-06-10,42,41.0
108,Rodney,Moore,115969.65,2020-11-05,38,72.0
109,Cindy,Coleman,54500.35,2017-06-15,9,43.0
110,Charles,Esparza,39936.57,2020-12-21,25,96.0
111,Rachel,Cain,46254.27,2023-05-13,36,57.0
112,Benjamin,Olson,56220.01,2024-05-29,9,69.0
113,Brenda,Cobb,55215.63,2016-03-18,37,66.0
114,Dawn,Simmons,33628.1,2019-05-28,13,109.0
